Rank,Title,Release_Date,Metascore,Userscore,Summary,Link
71.,Jujutsu Kaisen 0: The Movie,"March 18, 2022",72,7.4,"Yuuta Okkotsu is haunted. Ever since his childhood friend Rika died in a traffic accident, her ghost has stuck with him. But her spirit does not appear as the sweet girl Yuuta once knew. Instead, she manifests as a monstrous and powerful entity who fiercely protects him. Unable to control Rika's violent behavior, Yuuta is helpless to stop the bloodshed that follows from her brutal vengeance. As a result, when apprehended by ""Jujutsu"" sorcerers--the secret guardians of the world, trained to combat forces like Rika--Yuuta wishes to be completely isolated so that no one else can get hurt. Yet his apprehender, the master sorcerer Satoru Gojou, has different plans for him: he will join Jujutsu High School and learn to control Rika in order to help people. Now a first-year at this school, Yuuta starts to learn Jujutsu arts and combat malignant beings. Alongside his new classmates Maki Zenin, a Jujutsu weapons expert; Toge Inumaki, a spellcaster who uses his words as weapons; and Panda, a seemingly walking and talking panda bear, Yuuta begins to find his place in the world and, for once, to feel comfortable with his abilities. However, as his training progresses, Yuuta comes to learn that the dangers of the Jujutsu world go far beyond that of wicked spirits.",https://www.metacritic.com/movie/jujutsu-kaisen-0-the-movie
72.,The Batman,"March 4, 2022",72,7.5,"Batman ventures into Gotham City's underworld when a sadistic killer leaves behind a trail of cryptic clues. As the evidence begins to lead closer to home and the scale of the perpetrator's plans become clear, he must forge new relationships, unmask the culprit and bring justice to the abuse of power and corruption that has long plagued the metropolis.",https://www.metacritic.com/movie/the-batman
73.,Montana Story,"May 13, 2022",71,tbd,"Two estranged siblings (Haley Lu Richardson, Owen Teague) return home to the sprawling ranch they once knew and loved, confronting a deep and bitter family legacy against a mythic American backdrop.",https://www.metacritic.com/movie/montana-story
74.,Catch the Fair One,"February 11, 2022",71,tbd,A Native American boxer embarks on the fight of her life when she goes in search of her missing sister.,https://www.metacritic.com/movie/catch-the-fair-one
75.,The Survivor,"April 27, 2022",71,6.8,"The film is set post-World War II and will star Ben Foster as Harry Haft, a boxer who fought fellow prisoners in the concentration camps to survive. Haunted by the memories and his guilt, he attempts to use high-profile fights against boxing legends like Rocky Marciano as a way to find his first love again.",https://www.metacritic.com/movie/harry-haft
76.,Resurrection,"August 5, 2022",70,tbd,"Margaret (Rebecca Hall) leads a successful and orderly life, perfectly balancing the demands of her busy career and single parenthood to her fiercely independent daughter Abbie. But that careful balance is upended when she glimpses a man she instantly recognizes, an unwelcome shadow from her past. A short time later, she encounters him again. Before long, Margaret starts seeing David (Tim Roth) everywhere — and their meetings appear to be far from an unlucky coincidence. Battling her rising fear, Margaret must confront the monster she’s evaded for two decades who has come to conclude their unfinished business. [Sundance]",https://www.metacritic.com/movie/resurrection
77.,Sundown,"January 28, 2022",70,6.6,"Neil and Alice Bennett (Tim Roth, Charlotte Gainsbourg) are the core of a wealthy family on vacation in Mexico with younger members Colin and Alexa (Samuel Bottomley, Albertine Kotting McMillan) until a distant emergency cuts their trip short. When one relative disrupts the family’s tight-knit order, simmering tensions rise to the fore.",https://www.metacritic.com/movie/sundown-2021
78.,Ted K,"February 18, 2022",70,5.6,"From the mind of director Tony Stone comes TED K — a bracing, cinematic journey into the tortured mind of The Unabomber. Deep in the American Rocky Mountains lived a man who sought refuge from modern society. His dark writings forewarned of a society ruled by technology. As the outside world encroached on his mountain sanctuary, he slowly became radicalized with rage. What began with small acts of sabotage, culminated with deadly bomb attacks, national media attention, and the largest manhunt in American history. Actor Sharlto Copley brings a dark intensity and unnerving intimacy to this chilling portrait of America’s most notorious and enigmatic terrorist.",https://www.metacritic.com/movie/ted-k
79.,Hellbender,"February 24, 2022",70,5.4,"In Hellbender, 16-year-old Izzy (Zelda Adams) suffers from a rare illness that has kept her isolated on a mountaintop with her mother (Toby Poser) her whole life. As Izzy begins to question her sickness, she pushes back against her confinement and secretly befriends Amber (Lulu Adams), another girl living on the mountain, but her newfound happiness is derailed after she eats a live worm as part of a juvenile game and finds an insatiable and violent hunger awakened within her. To understand the hunger, Izzy must learn the dark secrets of her family's past and the ancient power in her bloodline.",https://www.metacritic.com/movie/hellbender
80.,The Fabulous Filipino Brothers,"February 8, 2022",69,tbd,Follows four brothers and their shenanigans.,https://www.metacritic.com/movie/the-fabulous-filipino-brothers
81.,Charli XCX: Alone Together,"January 28, 2022",69,6.0,"Charli XCX was riding high after an electric headline global tour in 2019. However, everything changed when the COVID-19 pandemic turned the world upside down. Lost in the early days of quarantine Charli turns to music and announces she will make an album at home in 40 days by enlisting the help of her fans online. The boundaries take Charli on a unique creative and emotional journey as she confronts mental health issues, rekindles her relationship with her boyfriend, connects with her fans, and ultimately produces the music for how i’m feeling now.",https://www.metacritic.com/movie/alone-together
82.,Huda's Salon,"March 4, 2022",69,5.6,"Reem, a young mother married to a jealous man, goes to Huda’s salon in Bethlehem. But this ordinary visit turns sour when Huda, after having put Reem in a shameful situation, blackmails her to have her work for the secret service of the occupiers, and thus betray her people.",https://www.metacritic.com/movie/hudas-salon
83.,Here Before,"February 11, 2022",69,tbd,"When a new family moves in next door to Laura (Andrea Riseborough) and her family, their young daughter, Megan, quickly captivates her, stirring up painful memories of her own daughter, Josie, who died several years previously. Before long, Laura's memories turn to obsession as Megan's unsettling behaviour begins to convince her of something supernatural. As Laura's determination to get to the bottom of it becomes all consuming, her family begins to fracture and the line between the extraordinary and the real becomes ever more obscured in this haunting story about a mother's love.",https://www.metacritic.com/movie/here-before
84.,The Outfit,"March 18, 2022",69,7.5,An expert tailor (Mark Rylance) must outwit a dangerous group of mobsters in order to survive a fateful night.,https://www.metacritic.com/movie/the-outfit
85.,The Pink Cloud,"January 14, 2022",69,tbd,"After a toxic and mysterious pink cloud appeared, Giovana finds herself stuck in a flat with a man she just met, changing her life in a way she never expected.",https://www.metacritic.com/movie/the-pink-cloud
86.,Downfall: The Case Against Boeing,"February 18, 2022",68,7.2,Investigators reveal how Boeing's alleged priority of profit over safety could have contributed to two catastrophic crashes within months of each other. [Netflix],https://www.metacritic.com/movie/downfall-the-case-against-boeing
87.,Chip 'n Dale: Rescue Rangers,"May 20, 2022",68,tbd,"In Chip 'n Dale: Rescue Rangers, Chip and Dale are living amongst cartoons and humans in modern-day Los Angeles, but their lives are quite different now. It has been decades since their successful television series was canceled, and Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend's life.",https://www.metacritic.com/movie/chip-n-dale-rescue-rangers
88.,Fabian: Going to the Dogs,"February 11, 2022",68,tbd,"Berlin, 1931. Jakob Fabian works in the advertising department of a cigarette factory by day and drifts through bars, brothels and artist studios with his wealthy and debauched friend Labude by night. When Fabian meets the beautiful and confident Cornelia, he manages to shed his pessimistic attitude for a brief moment and falls in love. Not long after, he falls victim to the great wave of layoffs sweeping the city, plunging him back into a depression, while Cornelia’s career as an actress is taking off thanks to her wealthy boss and admirer – an arrangement that Fabian finds difficult to accept. But it’s not just his world that is falling apart; all of Germany is about to self-destruct.",https://www.metacritic.com/movie/fabian-going-to-the-dogs
89.,The Unbearable Weight of Massive Talent,"April 22, 2022",67,7.2,"Creatively unfulfilled and facing financial ruin, the fictionalized version of Nicolas Cage must accept a $1 million offer to attend the birthday of a dangerous superfan (Pedro Pascal). Things take a wildly unexpected turn when Cage is recruited by a CIA operative (Tiffany Haddish) and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones. With a career built for this very moment, the seminal award-winning actor must take on the role of a lifetime: Nick Cage.",https://www.metacritic.com/movie/the-unbearable-weight-of-massive-talent
90.,Fresh,"March 4, 2022",67,6.6,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa (Daisy Edgar-Jones) takes a chance by giving her number to the awkwardly charming Steve (Sebastian Stan) after a produce-section meet-cute at the grocery store. During a subsequent date at a local bar, sassy banter gives way to a chemistry-laden hookup, and a smitten Noa dares to hope that she might have actually found a real connection with the dashing cosmetic surgeon. She accepts Steve’s invitation to an impromptu weekend getaway, only to find that her new paramour has been hiding some unusual appetites. [Sundance]",https://www.metacritic.com/movie/fresh-2022
91.,Ray Donovan: The Movie,"January 14, 2022",67,6.3,"A showdown decades in the making brings the Donovan family legacy full circle. As the events that made Ray who he is today finally come to light, the Donovans find themselves drawn back to Boston to face the past. Each of them struggles to overcome their violent upbringing, but destiny dies hard, and only their fierce love for each other keeps them in the fight. Whether they stand together or they go down swinging, one thing is certain – Ray doesn’t do loose ends.",https://www.metacritic.com/movie/ray-donovan
92.,The Sky Is Everywhere,"February 11, 2022",66,5.5,"Tucked among the magical redwood trees of Northern California and surrounded by her grandmother’s gargantuan roses, 17-year-old Lennie Walker, a radiant musical prodigy, struggles with overwhelming grief following the sudden loss of her older sister, Bailey. When Joe Fontaine, the charismatic new guy at school, enters Lennie’s life, she’s drawn to him. But Lennie’s complicated relationship with her sister’s devastated boyfriend, Toby, starts to affect Lennie and Joe’s budding love. Through her vivid imagination and honest, conflicted heart, Lennie navigates first love and first loss to create a song of her own.",https://www.metacritic.com/movie/the-sky-is-everywhere
93.,Master,"March 18, 2022",66,4.6,"Professor Gail Bishop (Regina Hall) has recently been promoted to “Master” of a residence hall, the first time at storied Ancaster College that a Black woman has held the post. Determined to breathe new life into a centuries-old tradition, Gail soon finds herself wrapped up in the trials and tribulations of Jasmine Moore (Zoe Renee), an energetic and optimistic Black freshman. Jasmine’s time at Ancaster hits a snag early on when she’s assigned a dorm room that is rumored to be haunted. Things get worse when Jasmine clashes in the classroom with Liv Beckman (Amber Gray), a professor in the middle of her own racially charged tenure review. As Gail tries to maintain order and fulfill the duties of a Master, the cracks begin to show in Ancaster’s once-immaculate facade. After a career spent fighting to make it into Ancaster’s inner circle, Gail is confronted with the horrifying prospect of what lies beneath, her question ultimately becoming not whether the school is haunted, but by whom.",https://www.metacritic.com/movie/master-2022
94.,Men,"May 20, 2022",66,tbd,"In the aftermath of a personal tragedy, Harper (Jessie Buckley) retreats alone to the beautiful English countryside, hoping to have found a place to heal. But someone or something from the surrounding woods appears to be stalking her. What begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears.",https://www.metacritic.com/movie/men
95.,The Phantom of the Open,"June 3, 2022",65,tbd,"Maurice Flitcroft (Mark Rylance), a dreamer and unrelenting optimist, managed to gain entry to The British Open Golf Championship Qualifying in 1976 and subsequently shot the worst round in Open history, becoming a folk hero in the process.",https://www.metacritic.com/movie/the-phantom-of-the-open
96.,Operation Mincemeat,"May 6, 2022",65,6.0,"It’s 1943. The Allies are determined to break Hitler’s grip on occupied Europe, and plan to launch an all-out assault on Sicily; but they face an impossible challenge - how to protect the invasion force from potential annihilation. It falls to two remarkable intelligence officers, Ewen Montagu (Colin Firth) and Charles Cholmondeley (Matthew Macfadyen) to dream the most inspired and improbable disinformation strategy of the war - centered on the most unlikely of secret agents: a dead man. [Netflix]",https://www.metacritic.com/movie/operation-mincemeat
97.,Call Jane,"October 28, 2022",65,tbd,"Chicago, 1968. As a city and the nation are poised on the brink of violent political upheaval, suburban housewife Joy leads an ordinary life with her husband and daughter. When Joy’s pregnancy leads to a life-threatening condition, she must navigate a medical establishment unwilling to help. Her journey to find a solution to an impossible situation leads her to the “Janes,” a clandestine organization of women who provide Joy with a safer alternative — and in the process, change her life. [Sundance]",https://www.metacritic.com/movie/call-jane
98.,Honk for Jesus. Save Your Soul.,"September 2, 2022",65,tbd,"As the proud first lady of a Southern Baptist megachurch, Trinitie Childs (Regina Hall) carries immense responsibility on her shoulders. Her church, Wander To Greater Paths, once served a congregation in the tens of thousands, but after a scandal involving her husband, Pastor Lee-Curtis Childs (Sterling K. Brown), forced the church to close temporarily, Trinitie is struggling to manage the aftermath. Now Trinitie and Lee-Curtis must rebuild their congregation and reconcile their faith by all means necessary to make the biggest comeback that commodified religion has ever seen.",https://www.metacritic.com/movie/honk-for-jesus-save-your-soul
99.,Air Doll (2009),"February 4, 2022",65,7.4,A life-size blow-up doll develops a soul and falls in love with a video store clerk.,https://www.metacritic.com/movie/air-doll
100.,Watcher,"June 3, 2022",65,tbd,"As a serial killer stalks the city, Julia (Maika Monroe) – a young actress who just moved to town with her boyfriend – notices a mysterious stranger watching her from across the street.",https://www.metacritic.com/movie/watcher
